ClubId,ClubName,District,Division,Area,Prospective,Street,City,Postcode,Longitude,Latitude,CountryName,CharterDate,Location,MeetingDay,MeetingTime,FacebookLink,Website,OnlineAttendance
4,Enniscorthy Toastmasters Club,71,D,50,false,IFA Centre,Enniscorthy,Y21T2F4,-6.57,52.5,Ireland,1995-02-01,IFA Centre<br>Mill Park Road,Tuesdays,8:00 pm,https://www.facebook.com/Enniscorthy-Toastmasters-129333810455771/,http://www.enniscorthytoastmasters.com/,false
889,East Coast Club,71,C,10,false,"Brackenstown Village , Windmill Lands, Swords",Co Dublin,K67FK22,-6.24,53.46,Ireland,1994-12-01,"St Cronins Parish Hall, Swords<br>Online - Zoom ",Alternate Thursdays,8.00 pm,https://www.facebook.com/EastCoastToastmasters/,"    https://889.toastmastersclubs.org",true
1292,Norwich Speakers Club,71,H,25,false,"10 The Lastings, , Hall Road, ",Norwich,NR4 6ET,1.29,52.61,United Kingdom,1992-01-01,The Harford Community Centre,"Alternate Thursday, Face-to-Face",7:15 pm,https://www.facebook.com/groups/norwichspeakersclub/?ref=share,https://www.norwichspeakersclub.com/,false
1753,Swords Toastmasters,71,C,10,false,"FORREST ROAD , Swords,",Co Dublin,K67K825,-6.24,53.45,Ireland,1995-05-01,"FORREST LITTLE GOLF CLUB<br>FORREST ROAD, SWORDS, COUNTY DUBLIN. ","Monday, every forthnight",8:00 pm,https://www.facebook.com/SwordsToastmasters,http://www.swordstoastmasters.ie/,false
1868,Cork Toastmasters Club,71,A,23,false,"MacCurtain Street, Cork",Cork,T23   EEC3,-8.47,51.9,Ireland,1967-04-01,"The Metropole Hotel <br>MacCurtain Street, Cork","September to May, alternating Tuesdays",8:00 pm,https://www.facebook.com/corktoastmasters,http://www.corktoastmasters.org/,false
1896,Lucan Club,71,M,26,false,Lucan,Co Dublin,W23 W280,-6.45,53.36,Ireland,1983-03-01,Springfield Hotel<br>Dublin Road,1st and 3rd Thursday of each month,8:00 pm,https://www.facebook.com/lucan.toastmasters,http://www.lucantoastmasters.com/,false
2033,Lagan Valley Toastmasters,71,F,04,false,"Lagan Valley Island,, Island Civic Centre",Lisburn,BT27 4RL,-6.04,54.51,United Kingdom,2001-09-28,"Civic Centre Lisburn, Oak room<br>2nd Floor",1st & 3rd Wednesday,6:45 pm-8.30 pm,https://www.facebook.com/LaganValleyToastmasters?fref=ts,https://www.laganvalleytoastmasters.com/,false
2360,Malahide Club,71,C,10,false,Malahide,Co. Dublin,K36XT65,-6.15,53.45,Ireland,1981-02-01,The Grand Hotel,2nd & 4th Wednesday (Sept - June),8:00 pm,https://www.facebook.com/MalahideToastmasters,http://malahidetoastmasters.com/,false
2601,Dublin Club,71,M,02,false,Molesworth Street,Dublin,D2,-6.26,53.34,Ireland,1959-04-01,Buswells Hotel,Thursday,7:30 pm for 7:45 pm,https://www.facebook.com/dublintoastmasters/,http://www.dublintoastmasters.ie/,false
2650,Brandon Speakers Club,71,H,25,false,High Street,Brandon,IP27 0AX,0.62,52.45,United Kingdom,2001-04-04,Ram Hotel,2nd & 4th Wednesday,7 pm,https://www.facebook.com/groups/56105639951,http://www.d71.org/,false
2846,Fermoy Toastmasters Club,71,A,17,false,Ashe Quay,Fermoy,,-8.28,52.14,Ireland,1970-05-01,Youth Centre,Alternative Tuesday,8:15 pm,,http://www.fermoytoastmasters.com/,false
2989,Shannon Toastmasters Club,71,D,13,false,"Treacys Oakwood Hotel, Shannon",Co. Clare,V14 NH97,-8.87,52.71,Ireland,1996-09-01,"Treacys Oakwood Hotel<br>Shannon, Co. Clare",1st & 3rd Wednesday,7.50pm,http://facebook.com/shannontoastmasters,,false
3103,Eblana Toastmasters,71,M,02,false,17-19 Molesworth Street,"Dublin ","D02 HK50 ",-6.26,53.34,Ireland,1960-01-01,"Freemasons' Hall, 17 Molesworth Street, <br>Dublin 2, D02 HK50, Ireland.",1st & 3rd Thursday (Sept-May),6:30 p.m.,,https://eblanadublin.toastmastersclubs.org/,false
3141,Tara Toastmasters,71,M,54,false," N11, Stillorgan",Dublin,,-6.16,53.27,Ireland,1985-12-01,"Talbot Hotel Stillorgan ","1st, 3rd Thursday",8:00 pm,https://www.facebook.com/taratoastmasters,http://www.taratoastmasters.ie,false
3300,Talking Heads Club,71,A,03,false,"garrymore, killeag",cork,,-8,51.92,Ireland,1990-04-01,Garryvoe Hotel,Alternate Tuesday,8:00 pm,,,false
3360,Ennis Toastmasters Club,71,D,13,false,"Arthurs Row, Friars Walk",ENNIS,V95 HOXK,-8.98,52.84,Ireland,1976-03-01,"TEMPLEGATE HOTEL<br>Place Saint-Paul-de-Fenouille, ","22 March, 5 & 19 April. 3, 17,&30 May'22",7:45pm for 8pm start,https://www.facebook.com/EnnisToastmasters,https://ennistoastmasters.toastmastersclubs.org/,false
3380,Anglia Communicators Club,71,H,14,false,Hampton,Peterborough,PE7 8BD,-0.26,52.54,United Kingdom,2002-12-17,Tesco Community Space<br>Serpentine Green Shopping Centre,2nd & 4th Monday (exc bank holidays),6:30 pm,https://www.facebook.com/Anglia-Communicators-Peterborough-Speakers-Club-of-Toastmasters-Intl-187571765143855/,http://www.angliacommunicators.club/,false
3452,Dun Laoghaire Club,71,M,05,false,"Killiney Shopping Centre, Rochestown Avenue","Killiney, Co Dublin",A96 KA09,-6.14,53.27,Ireland,1977-03-01,The Graduate <br>In person,Alternate Mondays,7.45 pm,https://www.facebook.com/dunlaoghairetoastmasters/?fref=ts,http://dunlaoghaire.toastmasterclub.org/,false
3525,Mid-Ulster Toastmasters Club,71,F,04,false,"94 Church Street,",Cookstown,BT80 8HZ,-6.74,54.64,United Kingdom,2002-12-31,Gortalowery House,1st & 3rd Tuesday (September to June),7.30 pm,https://www.facebook.com/midulstertoastmasters/,https://midulster.toastmastersclubs.org/,true
3579,Blarney Toastmasters Club,71,A,23,false,Blarney,Blarney,,-8.57,51.93,Ireland,1975-01-01,"Online - via Zoom - online attendance ","2nd and 4th Tuesday ",8:00 pm,https://m.facebook.com/blarneytoastmasters,http://www.blarneytoastmasters.com/,true
3599,Hellfire Club,71,M,02,false,Newbridge Avenue Sandymount,Dublin 4,D04 CP80,-6.22,53.34,Ireland,1963-03-01,Sandymount Community Centre,2nd & 4th Tuesday.,20.00,,http://www.hellfire.toastmastersclubs.org/,false
3669,Naas Club,71,D,28,false,Sallins Rd,Naas,W91D62E,-6.66,53.22,Ireland,1990-03-01,The Luisne Centre<br>McAuley Place,2nd & 4th Wednesday,7:45 pm,https://www.facebook.com/Naas-Toastmasters-273174819361129/,https://www.facebook.com/Naas-Toastmasters-273174819361129/,false
3677,Engineers Club,71,M,26,false,"22 Clyde Road, Ballsbridge","Dublin ",D04 R3N2,-6.24,53.33,Ireland,1969-11-01,Engineers Ireland,"2nd, 4th & 5th Tuesday(if applicable)",7.30 pm in person,www.facebook.com/ETM.22.Clyde.Rd,https://toastmasterclub.org/clubdata.php?c=174,false
3727,Tullamore Toastmasters Club,71,F,09,false,2  Harbour Street,"Tullamore,  Co.  Offaly",R35 DN02,-7.49,53.28,Ireland,1994-09-01,St. Marys  Youth and Community Centre,Every second Thursday,8:00 pm,https://www.facebook.com/tullamore.toastmasters,tullamore.toastmastersclubs.org,true
3794,Tower Toastmasters,71,D,08,false,"Dunmore Road , Waterford ","Waterford ",X91 C66E,-7.07,52.24,Ireland,1975-11-01,"Quaker Meeting House<br>Cork Road, Waterford ",2nd & 4th Tuesday of each month,8:00 pm,https://m.facebook.com/waterfordcommunicators/,,true
3969,Cork Douglas Toastmasters,71,A,23,false,"Garryduff Sports Centre, Garryduff",Cork,T12ER22,-8.46,51.9,Ireland,1991-04-01,The Main Bar<br>Garryduff Sports Centre,Every 2nd & 4th Wednesday,7.45:00 pm,https://www.facebook.com/corkdouglastoastmaster,http://douglasslainte.d71.org/,false
4028,Powdermills Club,71,A,49,false,"Classis Road, Ballincollig",Cork,P31 TX39,-8.64,51.88,Ireland,1995-05-01,"Powdermills Toastmasters Club Meeting<br>1st Floor (left out of lift), Crann Centre",Alternate Wednesday,8:00 pm,https://www.facebook.com/powdermillstoastmasters,http://powdermillstoastmasters.toastmasterclub.org/,false
4173,Thurles Toastmasters Club,71,D,08,false,"Dublin Road,, Co Tipperary",Thurles,E41 X789,-7.8,52.68,Ireland,1988-03-01,"Anner Hotel ","1st, 3rd & 5th Wednesday Sept to May",8:00 pm,https://www.facebook.com/Thurles-Toastmasters-147684281958824/,http://4173.toastmastersclub.org/,false
4193,IE Templebar Toastmasters,71,C,57,false,"The Carmelite Centre, 56 Aungier Street",Dublin 2,D02T258,-6.27,53.34,Ireland,1995-03-01,The Carmelite Centre,"1st & 3rd Tuesday of the month ",7.00pm,,http://www.ie-toastmasters.ie/,false
4482,Midleton Toastmasters Club,71,A,03,false,Mill Road,Midleton,P25YT50,-8.18,51.92,Ireland,1995-03-01,My Place Midleton,2nd & 4th Wednesdays,7.30pm,https://www.facebook.com/groups/127903845765,http://toastmasterclub.org/portal.php?page=923,false
4488,Bray Toastmasters,71,M,05,false,Bray,Co Wicklow,,-6.11,53.2,Ireland,1981-03-01,Open Door Day Centre<br>Vevay Road,"1st & 3rd Tuesdays, September - June",8:00pm,https://www.facebook.com/braytoastmasters,https://bray.toastmasterclub.org,false
5181,Clondalkin Talkin',71,M,26,false,"Maldron Hotel Newlands Cross, Naas Road","Clondalkin, Dublin",D22 V6Y6,-6.39,53.31,Ireland,1998-06-01,Maldron Hotel<br>CLONDALKIN,1st and 3rd Tuesday,7.50 for 8.00 sharp start,https://www.facebook.com/clondalkinTM/,http://www.clondalkintoastmasters.com/,false
5342,Limerick Toastmasters,71,D,24,false,"Limerick Strand Hotel, Ennis Road, ",Limerick,V94 03F2,-8.63,52.67,Ireland,1983-12-01,"Limerick Strand Hotel<br>Ennis Road, Limerick City, Eircode: V94 03F2",2nd and 4th Mon each month (Sep to Jun),7:45 pm (assembly) for 8pm start (sharp),https://www.facebook.com/limerick.toastmasters/,http://www.limericktoastmasters.com/,false
5462,Clonmel Toastmasters,71,D,08,false,"Poppyfields Retail Park, Cahir Road","Clonmel,  Co Tipperary",E91 X0N7,-7.74,52.36,Ireland,1984-04-01,Talbot Hotel Clonmel,2nd & 4th Thursday,8:00 pm,https://www.facebook.com/ClonmelTM,http://www.clonmeltoastmasters.com/,false
5658,Glasnevin Club,71,C,22,false,"Upr Drumcondra Road, Drumcondra","Dublin ",9,-6.25,53.37,Ireland,1992-09-01,Skylon Hotel,Every 2nd Monday,8:00 pm,,http://www.glasnevintoastmasters.com/,false
5673,Camulodunum Club,71,H,01,false,15 St. Monance Way,Colchester,CO4 0pn,0.93,51.9,United Kingdom,1984-10-01,"2nd & 4th Monday<br>Holiday inn Express, Birchwood Road, Dedham.CO7 6HS ","2nd & 4th Monday ",7:15 pm,https://www.facebook.com/ColchesterToastmastersInternational,http://www.camulodunumspeakers.org.uk/,false
5684,Westport Speakers Club,71,F,27,false,"Roebucks, Newport Rd.,",Westport,F28FN32,-9.53,53.8,Ireland,2003-02-19,"Westport Leisure Park, James St.<br>Westport , County Mayo ",Monday resuming September 9th 2024,19.00,www.facebook.com/WestportSpeakers,Westport Speakers Club https://5684.toastmastersclubs.org/,false
6078,Elder Gate Toastmasters Club,71,H,44,false,"Bradwell Road, Loughton Lodge",Milton Keynes,MK8 9LA,-0.79,52.04,United Kingdom,1986-01-01,National Badminton Centre,2nd & 4th Monday,6:00 pm for 6:15 pm,,http://www.mktoastmasters.co.uk/,false
6172,Waterford DLS Toastmasters Club,71,D,08,false,"Cork Road, Waterford",Waterford,X91 Y657,-7.16,52.24,Ireland,1986-03-01,The Viking Hotel,"1st, 3rd  Thursday",7.30 pm,https://www.facebook.com/ToastmastersWaterfordDLSCommunicatorsClub/,,false
6255,Fingal Toastmasters Club,71,C,10,false,"Sutton Cross, Sutton",Dublin,13,-6.11,53.39,Ireland,1986-06-01,The Marine Hotel,Alternate Mondays incuding Bank Holidays,8:00 p.m.,https://www.facebook.com/Fingal-Toastmasters-144027049021483/?ref=settings,https://fingal.toastmastersclubs.org/,false
6327,Hertfordshire Speakers Club,71,H,20,false,Online,"Hatfield, Hertfordshire",AL10 0AN,-0.22,51.77,United Kingdom,1997-03-01,"Birchwood Leisure Centre<br>Longmead, Hatfield",2nd & 4th Monday,7:30 p.m.,https://www.facebook.com/hertsspeakers/,https://toastmasterclub.org/portal.php?page=468,true
6459,Ipswich Electrifiers Speakers' Club,71,H,25,false,Highfield Road,Ipswich,IP1 6DG,1.13,52.08,United Kingdom,1995-03-01,Castle Hill Community Centre<br>Highfield Road,Alternate Thursdays,18:45pm,https://www.facebook.com/IpswichElectrifiers,https://ipswichelectrifiers.org.uk/,false
6467,Castleknock Toastmasters Club,71,C,16,false,"Castleknock Road, Old Navan Road, Castleknock",Dublin 15,D15 NY10,-6.37,53.38,Ireland,1986-12-01,Castleknock Lawn Tennis Club<br>Function Room,1st & 3rd Thurs,8:00 p.m.,https://www.facebook.com/pages/Castleknock-Toastmasters/144425195613869,https://castleknocktoastmasters.business.site/?utm_source=gmb&utm_medium=referral,true
6496,Power Talk Advanced Club,71,M,07,false,Haddington Road,Dublin 4,,-6.24,53.34,Ireland,2002-02-19,"The 51 Pub, Upstairs",3rd Monday,7:30 pm,,,true
6573,Athlone Club,71,F,09,false,"Dublin Road, Kilmacuagh",Athlone,N37 YW25,-7.89,53.41,Ireland,1987-06-01,"Creggan Court Hotel<br>Kilmartin N6 Center, ","2nd & 4th Tuesday, Sept to June",8.15 pm,https://www.facebook.com/pages/Athlone-Toastmasters-Official/249373351773611?ref=tn_tnmn,athlone.toastmastersclubs.org,true
6640,Leeds City Toastmasters,71,N,15,false,4 Whitehall Quay,Leeds,LS1 4HR,-1.55,53.8,United Kingdom,2002-06-27,Novotel Hotel,Thursdays,7:00 pm,https://facebook.com/leedscitytoastmasters,http://www.leedscitytoastmasters.org.uk/,true
6726,Manchester Orators Toastmasters Club,71,N,48,false,21 Dickinson Street,Manchester,M1 4LX,-2.24,53.48,United Kingdom,2003-03-12,"Novotel<br>Ryland Suite- 1st floor. ","1st, 2nd & 4th Thursday",7.30 pm,,http://www.orators.org.uk/,false
6824,Heart of England Club,71,E,42,false,"Warwick Road, Knowle",Solihull,B93 9LW,-1.75,52.4,United Kingdom,2003-03-12,The Silhillians  Sports Club<br>The Silhillians has a large car park but you need to register your number plate,1st & 3rd Tuesday,7.15 for 7:30 pm start,https://www.facebook.com/HeartSpeakers,https://www.heartspeakers.org.uk/,false
6844,Dereham Articulate Speakers Club,71,H,25,false,St Withburga Lane,Dereham,NR19 1ED,0.95,52.68,United Kingdom,1988-02-01,Meeting Point,Every other Monday,7:00pm for a prompt 7:30pm start,www.facebook.com/articulatespeakers,https://www.derehamspeakersclub.com,false
7147,VOX POPULI,71,M,07,false,56 Aungier Street,Dublin,D02T258,-6.27,53.34,Ireland,1995-06-01,Carmelite Community Centre,1st & 3rd Thursdays,7:00 pm,https://www.facebook.com/voxpopulidublin,http://voxpopulidublin.com/,false
7197,Nenagh Club,71,D,24,false,Dublin Road,"Nenagh ",,-8.2,52.86,Ireland,1988-12-01,Abbey Court Hotel,Alternate Tuesday,8:15 pm,,http://nenaghtoastmasters.com/,false
7364,Bandon Toastmasters Club,71,A,11,false,Bandon,Co Cork,P72WD58,-8.74,51.74,Ireland,1989-04-01,"Bandon Library, Cork County Council, <br>The Old Market, Bandon,     ",2nd Thursday & 4th Thursday-,8pm,https://www.facebook.com/Bandontoastmasters/,,true
7420,Drogheda Toastmasters Club,71,C,19,false,Dublin Rd,Drogheda,"A92 EY89 ",-6.31,53.71,Ireland,2000-11-09,Boyne Valley Hotel,2nd & 4th Monday of each month,7:50 pm,https://m.facebook.com/pages/category/Community/ToastmastersDrogheda/posts/,http://7420.toastmastersclubs.org/,false
7491,Carlow Toastmasters Club,71,D,50,false,76 Tullow St,Carlow  Co Carlow,R93 NY70,-6.93,52.84,Ireland,1997-03-01,Teach Dolmen,1st & 3rd Wednesdays of Each Month,8:00 pm,https://www.facebook.com/CarlowToastmasters/,https://toastmasterclub.org/portal.php?marknow=0,false
7508,Failte Club,71,A,17,false,"College  of further education , Charleville",Charleville,P56E372,-8.68,52.35,Ireland,1995-04-01,"College  of further  education <br>Charleville, Co Cork","2nd and 4th Tuesday ",7.30,,http://www.failtetoastmasters.org/,true
7529,Rathfarnham Club,71,M,26,false,"Main Street, Rathfarnham",Dublin 14,D14 TN93,-6.28,53.3,Ireland,1994-11-01,Church of Ireland - Parish Hall,"Fortnightly Wednesday ",7:45 pm,https://m.facebook.com/RathfarnhamToastmasters/,http://www.rathfarnhamtoastmasters.com/,false
7574,Glasgow Toastmasters,71,S,60,false,80 Jamaica Street,Glasgow,G1 4QG,-4.26,55.86,United Kingdom,2002-03-18,Leonardo Hotel<br>formerly Jury's Inn,"1st, 3rd & 5th Tuesday",7:00 pm,https://www.facebook.com/glasgowtoastmasters?ref=stream,http://glasgowtoastmasters.toastmasterclub.org/,false
7584,Capital Communicators,71,S,30,false,7 Victoria Terrace,Edinburgh,EH1 2JL,-3.04,55.95,United Kingdom,1995-05-01,"Quaker Meeting House<br>7, Victoria Terrace",Every other Tues,6.45 for 7.00 p.m.,https://www.facebook.com/groups/CapitalCommunicators,https://capitalcommunicators.toastmastersclubs.org/,false
7603,Raheen Club,71,D,13,false,Raheen,"Limerick "," V94 E77X",-8.65,52.63,Ireland,2000-04-01,Southcourt Hotel,"Second and Fourth Monday of each month  ",8:00 pm,https://www.facebook.com/Raheentoastmasters,,false
7729,"Thomond Club ",71,D,24,false,Castletroy,Limerick,V94 YOAN,-8.57,52.66,Ireland,1990-06-01," Castletroy Park Hotel",2nd & 4th Thursday,8:00 pm,https://www.facebook.com/thomond.toastmasters.limerick,https://thomondtoastmasters.toastmastersclubs.org/,true
7811,Society Toastmasters Club,71,M,02,false,47/49 Pearse Street,"Dublin ",D02 YN40,-6.25,53.35,Ireland,1990-06-01,"Chartered Accountants House<br>47-49 Pearse Street, Dublin 2","2nd & 4th Thursday ",7:15 PM,https://www.facebook.com/Society-Toastmasters-202935747948/,http://www.societytoastmastersdublin.com/,false
8105,Cambridge Speakers Club,71,H,01,false,185 Mill Road,Cambridge,CB1 3AN,0.15,52.2,United Kingdom,1999-06-01,St Philip's Centre,Alternate Tuesdays,7:30 pm,https://www.facebook.com/groups/CamSpeakers,http://www.cambridge-speakers.org.uk/,true
8824,Mullingar Toastmasters Club,71,F,09,false,Home,Mullingar,N91 W959,-7.34,53.53,Ireland,1997-06-01,Greville Arms Hotel<br>Mullingar,2nd & 4th Thursday,8:00pm,https://www.facebook.com/#!/pages/Mullingar-Toastmasters/146431528719078,n/a,false
8828,West Herts Speakers Club,71,H,32,false,"29 Ridgmont Road, St Albans",Hertfordshire,AL1 3AG,-0.36,51.72,United Kingdom,1996-06-01,The County Constitutional Club<br>St Albans,2nd & 4th Wednesday of each month,7:30 pm,https://www.facebook.com/westhertsspeakersclub/,http://www.west-herts-speakers.org.uk/,false
9215,Galway Club,71,F,12,false,"Castlepark Road, Ballyban",Galway,H91 RW08,-9,53.29,Ireland,1993-03-01,SCCUL Enterprise Centre<br>PLEASE USE CONTACTUS FORM ON CLUB  SITE,Alternate  Wednesday (check club site),8:00 pm - 10:00 pm,www.facebook.com/GalwayToastmasters,http://galway.toastmastersclubs.org/,false
